country,HDI,GHS,freedom,political_stability,happiness,total_vax_per_hundred,total_cases_per_mil,total_deaths_per_mil
Afghanistan,0.478,28.8,,-2.53,2.523,11.37,3843.027,178.853
Albania,0.796,45,8.14,0.11,5.117,81.5,73495.999,1130.064
Algeria,0.745,26.2,5.26,-0.88,4.887,27.94,4855.709,139.656
Andorra,0.858,34.7,,1.63,,146.85,289593.327,1753.441
Angola,0.586,29.1,6.09,-0.71,,32.64,2157.605,49.369
Antigua and Barbuda,0.788,30,,0.96,,129.19,45802.585,1269.036
Argentina,0.842,54.4,7.38,-0.11,5.929,172.04,127015.62,2596.686
Armenia,0.759,61.8,8.2,-0.84,5.283,58.51,124054.477,2867.139
Australia,0.951,71.1,8.84,0.85,7.183,162.66,13850.033,92.79
Austria,0.916,56.9,8.67,0.91,7.268,186.55,141452.592,1866.187
Azerbaijan,0.745,34.7,6.16,-0.85,5.171,109.54,59504.476,805.748
Bahamas,0.812,30.1,8.22,0.88,,73.22,59699.163,1748.827
Bahrain,0.875,36.3,5.73,-0.51,6.647,219.14,191141.779,946.858
Bangladesh,0.661,35.5,5.75,-0.97,5.025,62.26,9262.063,163.985
Barbados,0.79,34.9,7.92,1.12,,106.38,100516.251,923.145
Belarus,0.808,43.9,6.73,-0.74,5.534,80.84,73162.372,583.222
Belgium,0.937,59.3,8.61,0.61,6.834,186.45,179883.824,2432.755
Belize,0.683,29.7,7.64,0.46,,104.77,79122.099,1473.037
Benin,0.525,25.4,7.32,-0.3,5.045,13.28,1875.553,12.057
Bhutan,0.666,39.8,6.86,0.97,,147.59,3399.548,3.834
Bolivia,0.692,29.9,6.94,-0.32,5.716,80.11,48410.298,1607.478
Bosnia and Herzegovina,0.78,35.4,7.54,-0.38,5.813,48.06,89830.928,4152.737
Botswana,0.693,33.6,7.9,0.98,3.467,42.89,84421.169,932.213
Brazil,0.754,51.2,7.22,-0.49,6.33,153.86,103401.94,2874.028
Brunei,0.829,43.5,6.46,1.17,,200.09,34454.19,135.857
Bulgaria,0.795,59.9,8.08,0.46,5.266,54.57,109746.821,4554.734
Burkina Faso,0.449,29.8,6.85,-1.64,4.834,4.65,777.639,14.025
Burundi,0.426,22.1,5.02,-1.36,3.775,0.06,2370.131,1.086
Cape Verde,0.662,34.1,,0.9,,96.29,68679.383,593.43
Cambodia,0.593,31.1,6.47,-0.13,4.83,181.64,7185.596,179.629
Cameroon,0.576,28.6,5.63,-1.41,5.142,3.65,3928.633,66.381
Canada,0.936,69.8,8.85,0.94,7.103,179.01,54674.47,779.054
Central African Republic,0.404,18.6,5.62,-2.1,,7.83,2232.24,18.103
Chad,0.394,23.9,5.57,-1.34,4.355,1.61,321.667,10.213
Chile,0.855,56.2,8.44,0.06,6.172,226.05,92058.065,1994.314
China,0.768,47.5,5.57,-0.48,5.339,198.85,92.42,3.997
Colombia,0.752,53.2,7.01,-0.91,6.012,124.71,99059.263,2503.488
Comoros,0.558,24.9,6.07,-0.23,4.289,69.5,7785.77,187.623
Congo,0.571,26.3,5.55,-0.61,5.342,12.71,3563.73,61.805
Costa Rica,0.809,40.8,8.25,0.87,7.069,149.71,110206.152,1419.462
Côte d'Ivoire,0.55,31.2,6.9,-0.95,5.306,25.26,2419.91,25.284
Croatia,0.858,48.8,8.16,0.71,5.882,117.35,176082.986,3099.722
Cuba,0.764,30.5,,0.43,,275.36,86117.905,742.227
Cyprus,0.896,41.9,8.42,0.44,6.223,172,180555.509,720.977
Czech Republic,0.889,52.8,8.61,0.96,6.965,147.62,239885.878,3462.077
D.R. Congo,0.479,26.1,5.62,-1.61,,0.34,800.655,12.372
Denmark,0.948,64.4,8.98,0.95,7.62,203.62,133231.468,553.529
Djibouti,0.509,25.2,5.84,-0.71,,5.77,12162.187,168.622
Dominica,0.72,26.4,,1.39,,78.4,93652.932,645.977
Dominican Republic,0.767,34.5,7.88,0.14,5.545,125.45,37160.446,378.134
Ecuador,0.74,50.8,7.43,-0.27,5.764,153.14,30320.534,1870.396
Egypt,0.731,28,4.49,-1.02,4.283,47.59,3466.327,195.756
El Salvador,0.675,40.8,7.39,-0.21,6.061,151.83,19212.981,603.34
Equatorial Guinea,0.596,17.4,,-0.29,,27.03,8185.485,104.483
Eritrea,0.492,21.4,,-1.01,,,2166.643,20.358
Estonia,0.89,55.5,8.91,0.76,6.189,136.41,182347.157,1456.943
Eswatini,0.597,29.3,5.79,-0.03,4.308,33.25,54783.303,1080.987
Ethiopia,0.498,37.8,5.95,-2.07,4.275,8.85,3367.185,56.136
Fiji,0.73,25.8,7.36,0.67,,136.28,57360.484,750.724
Finland,0.94,70.9,8.85,0.98,7.842,173.57,47621.033,307.72
France,0.903,61.9,8.34,0.37,6.69,183.22,146728.723,1871.705
Gabon,0.706,21.8,6.8,-0.09,4.852,16.45,17496.045,120.553
Gambia,0.5,28.7,6.88,0.18,5.051,10.89,3758.322,126.756
Georgia,0.802,52.6,8.2,-0.42,4.891,67.11,249638.058,3685.518
Germany,0.942,65.5,8.73,0.76,7.155,184.68,85942.734,1420.562
Ghana,0.632,34.3,7.49,0.07,5.088,23.17,4364.905,39.013
Greece,0.887,51.5,7.86,0.15,5.723,168.22,112691.012,1994.035
Grenada,0.795,26.7,,1.04,,62.55,48406.252,1594.146
Guatemala,0.627,29.1,7.63,-0.39,6.435,63.39,35119.817,902.38
Guinea,0.465,26.8,5.82,-0.97,4.984,21.3,2341.236,28.212
Guinea-Bissau,0.483,21.4,,-0.28,,19.66,3079.437,70.764
Guyana,0.714,30.8,7.49,-0.14,,88.5,48518.227,1299.573
Haiti,0.535,30.4,7.21,-1.1,3.615,1.7,2258.869,66.724
Honduras,0.621,26.2,7.09,-0.61,5.919,91.91,36379.485,1000.109
Hong Kong S.A.R.,0.952,,8.41,0.26,5.477,132.54,,
Hungary,0.846,54.4,7.73,0.86,5.992,151.24,126053.645,3931.454
Iceland,0.959,48.5,8.77,1.37,7.554,192.26,75853.506,96.54
